Experiment	Sample_name	alias	host	isolation_source	collection_date	life_stage	storage	geographic_location	province	lat_lon	container_description	env_medium	temp	ph	metagenome
SRR9598330	LS2.22S.A.AE.P6	LS2.22S.A.AE.P6	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Los Santos	Paritilla	7.62841666 N 80.17741666 W	Tank	rubber	28.42	7.44	Metagenome or environmental
SRR9598331	LS2.22S.A.AE.P7	LS2.22S.A.AE.P7	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Los Santos	Paritilla	7.62841666 N 80.17741666 W	Tank	plastic	28.42	7.44	Metagenome or environmental
SRR9598332	LS2.22S.A.AE7	LS2.22S.A.AE7	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Los Santos	Paritilla	7.62841666 N 80.17741666 W	Tank	rubber	28.42	7.44	Metagenome or environmental
SRR9598333	LS2.22S.A.AE8	LS2.22S.A.AE8	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Los Santos	Paritilla	7.62841666 N 80.17741666 W	Tank	rubber	28.42	7.44	Metagenome or environmental
SRR9598334	LS2.22S.A.AE9	LS2.22S.A.AE9	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Los Santos	Paritilla	7.62841666 N 80.17741666 W	Tank	rubber	28.42	7.44	Metagenome or environmental
SRR9598338	LS1.29S.A.AE.P3	LS1.29S.A.AE.P3	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Los Santos	La Villa	7.93291666 N 80.41505555 W	Plastic container	plastic	27.1	6.46	Metagenome or environmental
SRR9598339	LS2.22S.A.AE.P1	LS2.22S.A.AE.P1	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Los Santos	Paritilla	7.62841666 N 80.17741666 W	Tank	plastic	28.42	7.44	Metagenome or environmental
SRR9598343	LS1.29S.A.AE.P2	LS1.29S.A.AE.P2	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Los Santos	La Villa	7.93291666 N 80.41505555 W	Plastic sheet	plastic	29.53	7.6	Metagenome or environmental
SRR9598344	LS1.29S.A.AE.P1	LS1.29S.A.AE.P1	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Los Santos	La Villa	7.93291666 N 80.41505555 W	Plastic container	plastic	27.1	6.46	Metagenome or environmental
SRR9598345	LS2.22S.A.AE.P3	LS2.22S.A.AE.P3	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Los Santos	Paritilla	7.62841666 N 80.17741666 W	Tank	plastic	28.42	7.44	Metagenome or environmental
