Experiment	sample_name	isolation_source	collection_date	geographic_location	lat_lon	sample_size	metagenome
SRR11035658	E36	water 36_gD	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035659	E33	water 33_gD	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035660	E32	water 32_P	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035661	E28	water 28_R	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035662	E24	water 24_R	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035663	BM3E	water 14_drum	2017-06-02	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035664	E23	water 23_inf250	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035665	E19	water 19_inf250	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035666	E18	water 18_inf250	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035667	E17	water 17_gD	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035668	E16	water 16_gD	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035669	E141	water 141_Abv	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035670	E13	water 13_gD	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035671	E139	water 139_R	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035672	E137	water 137_P	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035673	E132	water 132_gD	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035674	BM2E	water 13_bucket	2017-06-02	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035675	E131	water 131_P	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035676	E11	water 11_inf250	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035677	E119	water 119_inf250	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035678	E118	water 118_R	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035679	E116	water 116_R	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035680	E115	water 115_inf250	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035681	E114b	water 114b_P	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
